epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,1.00000000e-04,1.366286,0.648083,1.106665,0.735265,14.90
2,9.99904584e-05,0.849383,0.795023,0.804055,0.839840,16.43
3,9.99618373e-05,0.746700,0.837487,0.726825,0.829059,16.74
4,9.99141477e-05,0.645240,0.865207,0.745884,0.858099,18.31
5,9.98474080e-05,0.603303,0.875427,0.703832,0.878690,17.23
6,9.97616440e-05,0.540279,0.900990,0.592240,0.893109,19.36
7,9.96568886e-05,0.507839,0.903249,0.793897,0.855340,14.70
8,9.95331824e-05,0.502229,0.903604,0.777133,0.880055,14.39
9,9.93905729e-05,0.487329,0.911515,0.636672,0.891634,16.44
10,9.92291151e-05,0.446313,0.917145,0.536576,0.899391,13.64
11,9.90488714e-05,0.431936,0.927787,0.445909,0.924468,14.34
12,9.88499111e-05,0.414890,0.931164,0.594933,0.895954,13.54
13,9.86323111e-05,0.415961,0.930885,0.740572,0.852887,17.81
14,9.83961551e-05,0.378511,0.939433,0.511397,0.908415,16.56
15,9.81415342e-05,0.404884,0.934221,0.673259,0.897938,15.02
16,9.78685466e-05,0.359875,0.944146,0.600035,0.877464,14.86
17,9.75772976e-05,0.365927,0.943702,0.443061,0.910591,16.10
18,9.72678993e-05,0.420380,0.934176,0.584287,0.897453,13.02
19,9.69404711e-05,0.366285,0.943579,0.645591,0.859454,15.67
20,9.65951393e-05,0.340534,0.950352,0.553000,0.891596,15.96
21,9.62320369e-05,0.338673,0.950040,0.566658,0.910485,17.55
22,9.58513039e-05,0.329452,0.950941,0.640550,0.893196,15.67
23,9.54530871e-05,0.347842,0.948489,0.930679,0.839186,15.45
24,9.50375401e-05,0.339642,0.948703,0.577851,0.908914,13.79
25,9.46048229e-05,0.325257,0.953441,0.547872,0.905996,18.56
26,9.41551026e-05,0.315457,0.955860,0.454413,0.918716,14.80
27,9.36885524e-05,0.324425,0.953426,0.711873,0.877241,15.38
28,9.32053521e-05,0.294050,0.960690,0.754108,0.842671,12.40
29,9.27056881e-05,0.316939,0.954613,0.549364,0.909199,19.81
30,9.21897531e-05,0.304678,0.958094,0.582241,0.895040,13.76
31,9.16577458e-05,0.292576,0.959654,0.702118,0.853320,21.65
32,9.11098715e-05,0.296365,0.959014,0.573849,0.879408,14.51
33,9.05463412e-05,0.294323,0.960302,0.773873,0.847531,19.11
34,8.99673724e-05,0.292110,0.959869,0.651560,0.891089,16.43
35,8.93731881e-05,0.297353,0.960606,0.493694,0.907940,16.35
36,8.87640174e-05,0.298608,0.959425,0.540140,0.894105,17.55
37,8.81400953e-05,0.289530,0.961521,0.563981,0.871610,15.42
38,8.75016622e-05,0.282338,0.963511,0.563625,0.878863,16.24
39,8.68489642e-05,0.277784,0.963162,0.619286,0.874603,16.86
40,8.61822530e-05,0.291217,0.960922,0.693752,0.861847,14.74
41,8.55017857e-05,0.280240,0.963122,0.757438,0.863736,18.83
42,8.48078244e-05,0.273348,0.964331,0.939312,0.847750,16.53
43,8.41006369e-05,0.268320,0.966728,0.700040,0.870905,16.18
44,8.33804957e-05,0.260023,0.967421,0.856378,0.851167,17.87
45,8.26476784e-05,0.271687,0.964460,0.777722,0.859822,17.01
46,8.19024676e-05,0.284210,0.955523,0.544871,0.900763,19.65
47,8.11451505e-05,0.258687,0.966971,0.651627,0.902780,13.47
48,8.03760191e-05,0.263274,0.966761,0.487575,0.912212,12.27
49,7.95953700e-05,0.247169,0.969478,0.669052,0.893851,14.78
50,7.88035040e-05,0.249599,0.969383,0.483607,0.909203,14.05
51,7.80007265e-05,0.261280,0.967323,0.662955,0.885421,14.55
52,7.71873470e-05,0.264815,0.966599,0.527113,0.909661,16.23
53,7.63636790e-05,0.259982,0.966867,0.537651,0.899236,17.03
54,7.55300400e-05,0.254045,0.968817,0.723480,0.858590,16.98
55,7.46867515e-05,0.257139,0.966817,0.445802,0.897382,16.39
56,7.38341385e-05,0.244711,0.970059,0.554880,0.908374,13.99
57,7.29725297e-05,0.250711,0.968402,0.581651,0.907516,13.65
58,7.21022574e-05,0.234633,0.971054,0.522604,0.903372,12.91
59,7.12236570e-05,0.233211,0.971252,0.684300,0.872584,14.84
60,7.03370672e-05,0.238300,0.971102,0.524032,0.906014,15.66
61,6.94428299e-05,0.240968,0.970627,0.651208,0.875960,14.57
62,6.85412897e-05,0.229834,0.972413,0.501531,0.925564,16.65
63,6.76327943e-05,0.231161,0.972184,0.679984,0.877036,15.89
64,6.67176939e-05,0.247600,0.968655,0.684884,0.879214,16.77
65,6.57963412e-05,0.239076,0.970611,0.754151,0.872359,17.24
66,6.48690915e-05,0.232384,0.971273,0.676436,0.891767,15.81
67,6.39363023e-05,0.235402,0.971002,0.693607,0.894456,16.37
68,6.29983331e-05,0.228721,0.972617,0.658798,0.895956,14.59
69,6.20555455e-05,0.228067,0.972011,0.586803,0.901929,14.86
70,6.11083031e-05,0.237355,0.970767,0.702903,0.891497,14.28
71,6.01569709e-05,0.226506,0.972441,0.588172,0.885942,18.18
72,5.92019159e-05,0.221695,0.973712,0.700847,0.882962,17.11
73,5.82435060e-05,0.216214,0.973552,0.660548,0.875193,15.83
74,5.72821109e-05,0.232836,0.971313,0.726447,0.866710,16.94
75,5.63181012e-05,0.219294,0.973781,0.682855,0.886237,18.74
76,5.53518484e-05,0.221662,0.974351,0.709418,0.873040,16.41
77,5.43837252e-05,0.221232,0.973325,0.695824,0.873402,16.42
78,5.34141048e-05,0.213208,0.974588,0.714087,0.876474,16.13
79,5.24433609e-05,0.219754,0.973518,0.538604,0.913179,17.04
80,5.14718678e-05,0.216382,0.973755,0.824804,0.863874,14.99
81,5.05000000e-05,0.206901,0.975922,0.573735,0.915944,14.88
82,4.95281322e-05,0.211179,0.975310,0.685405,0.899039,15.38
83,4.85566391e-05,0.207097,0.975875,0.600369,0.892976,15.84
84,4.75858952e-05,0.199816,0.977007,0.558243,0.917364,14.60
85,4.66162748e-05,0.212400,0.974604,0.737070,0.871565,16.74
86,4.56481516e-05,0.219464,0.973178,0.677915,0.877648,15.14
87,4.46818988e-05,0.202870,0.976576,0.643743,0.878135,14.09
88,4.37178891e-05,0.206092,0.976156,0.670088,0.874996,15.81
89,4.27564940e-05,0.202409,0.977150,0.558024,0.885811,17.90
90,4.17980841e-05,0.202031,0.977137,0.653639,0.882278,15.74
91,4.08430291e-05,0.207032,0.975083,0.555389,0.884203,14.86
92,3.98916969e-05,0.200767,0.976151,0.697752,0.875621,17.15
93,3.89444545e-05,0.194609,0.977458,0.634478,0.881241,15.95
94,3.80016669e-05,0.198292,0.977317,0.733253,0.871234,15.71
95,3.70636977e-05,0.197960,0.977457,0.654889,0.882627,14.75
96,3.61309085e-05,0.191386,0.978163,0.601233,0.887848,18.10
97,3.52036588e-05,0.194592,0.977852,0.627875,0.885680,15.49
98,3.42823061e-05,0.198758,0.977099,0.609425,0.896863,16.67
99,3.33672057e-05,0.196640,0.977242,0.686242,0.872740,15.97
100,3.24587103e-05,0.187189,0.978788,0.661769,0.881544,19.32
101,3.15571701e-05,0.189410,0.978408,0.689121,0.878735,15.02
102,3.06629328e-05,0.188376,0.978943,0.597739,0.888836,18.12
103,2.97763430e-05,0.193244,0.977837,0.622149,0.883050,17.87
104,2.88977426e-05,0.187224,0.978843,0.601381,0.891347,15.25
105,2.80274703e-05,0.186406,0.978694,0.828003,0.860308,14.28
106,2.71658615e-05,0.185741,0.978895,0.640854,0.880658,14.63
107,2.63132485e-05,0.184253,0.978885,0.637186,0.882382,13.18
108,2.54699600e-05,0.184544,0.978987,0.670921,0.875816,18.15
109,2.46363210e-05,0.180084,0.979606,0.671024,0.878073,15.25
110,2.38126530e-05,0.180279,0.979917,0.752684,0.868990,15.94
111,2.29992735e-05,0.176257,0.980271,0.724998,0.870807,14.02
112,2.21964960e-05,0.183214,0.978973,0.651461,0.883372,16.37
113,2.14046300e-05,0.180700,0.980026,0.677183,0.878183,14.92
114,2.06239809e-05,0.176435,0.980395,0.703552,0.877767,19.78
115,1.98548495e-05,0.176108,0.979917,0.723030,0.875752,15.00
116,1.90975324e-05,0.176891,0.980499,0.692027,0.876344,16.38
117,1.83523216e-05,0.175522,0.980535,0.697972,0.875346,14.33
118,1.76195043e-05,0.174276,0.980174,0.690146,0.878138,20.35
