epoch,lr,train_loss,train_dice,val_loss,val_dice,seconds
1,2.00000000e-04,1.608275,0.629774,1.559386,0.612153,40.58
2,1.99965904e-04,1.439162,0.695344,1.454126,0.684487,34.54
3,1.99863639e-04,1.355167,0.723792,1.384683,0.704085,34.56
4,1.99693275e-04,1.267164,0.756710,1.292823,0.692672,36.74
5,1.99454929e-04,1.169450,0.787174,1.245442,0.700295,30.87
6,1.99148764e-04,1.138972,0.786405,1.183335,0.695813,38.46
7,1.98774990e-04,1.072153,0.799242,1.122481,0.744018,36.24
8,1.98333863e-04,1.038340,0.813796,1.082911,0.743343,31.45
9,1.97825686e-04,0.993094,0.814343,1.158057,0.699574,36.72
10,1.97250807e-04,0.970552,0.816480,1.037473,0.750206,35.95
11,1.96609620e-04,0.928288,0.829900,0.974654,0.788223,34.83
12,1.95902564e-04,0.921566,0.825813,0.991235,0.758319,35.56
13,1.95130123e-04,0.862667,0.839908,0.964853,0.768757,37.99
14,1.94292828e-04,0.858935,0.837459,0.946997,0.769700,38.58
15,1.93391252e-04,0.834221,0.839987,0.972284,0.753717,40.18
16,1.92426013e-04,0.818419,0.855619,0.951928,0.781162,34.07
17,1.91397773e-04,0.831035,0.829682,0.905647,0.796367,36.45
18,1.90307236e-04,0.789870,0.857421,0.924435,0.779320,35.26
19,1.89155149e-04,0.744028,0.864094,0.875015,0.792533,34.73
20,1.87942303e-04,0.778990,0.853388,0.896847,0.777668,36.42
21,1.86669528e-04,0.721874,0.859898,0.928813,0.768745,33.93
22,1.85337696e-04,0.690547,0.872045,0.860373,0.803643,32.65
23,1.83947722e-04,0.705950,0.868153,0.877780,0.785066,36.30
24,1.82500556e-04,0.658037,0.883561,0.893693,0.775712,33.71
25,1.80997191e-04,0.652242,0.883430,0.801659,0.810808,35.55
26,1.79438657e-04,0.649605,0.888685,0.978023,0.718155,34.86
27,1.77826023e-04,0.664933,0.879052,0.851880,0.793019,34.32
28,1.76160394e-04,0.648858,0.870595,0.875744,0.783016,36.65
29,1.74442910e-04,0.654413,0.885321,0.811892,0.788742,36.97
30,1.72674750e-04,0.656002,0.875868,0.922784,0.768092,35.82
31,1.70857125e-04,0.622816,0.881577,0.894477,0.791249,36.11
32,1.68991280e-04,0.640627,0.886928,0.890329,0.795484,32.78
33,1.67078495e-04,0.621046,0.891724,0.950039,0.772412,33.97
34,1.65120081e-04,0.591350,0.897250,0.956342,0.760512,35.65
35,1.63117379e-04,0.635513,0.883278,0.853816,0.792822,32.73
36,1.61071762e-04,0.605453,0.891320,0.864301,0.799514,36.86
37,1.58984633e-04,0.588861,0.897784,0.898538,0.773447,33.04
38,1.56857421e-04,0.582123,0.892508,0.859418,0.786882,35.64
39,1.54691584e-04,0.557156,0.896688,0.886511,0.777574,32.48
40,1.52488607e-04,0.600692,0.880415,0.873260,0.781331,32.56
41,1.50250000e-04,0.549631,0.909822,0.826575,0.786299,30.61
42,1.47977297e-04,0.577063,0.902149,0.922491,0.746421,34.42
43,1.45672055e-04,0.567597,0.896700,0.886447,0.788279,39.88
44,1.43335854e-04,0.512475,0.919131,0.900830,0.768978,38.57
45,1.40970296e-04,0.561143,0.900674,0.847593,0.786912,32.88
46,1.38577002e-04,0.552201,0.903563,0.927613,0.788088,33.14
47,1.36157611e-04,0.543328,0.909319,0.878642,0.802260,34.22
48,1.33713782e-04,0.530141,0.915995,0.861481,0.776691,36.93
49,1.31247191e-04,0.539079,0.908965,0.889888,0.786084,33.08
50,1.28759527e-04,0.507252,0.917760,0.975598,0.772027,40.95
51,1.26252495e-04,0.544027,0.907688,0.888041,0.786723,35.16
52,1.23727814e-04,0.520075,0.917054,0.842870,0.799041,39.18
53,1.21187213e-04,0.506171,0.916826,0.907199,0.778261,32.71
54,1.18632435e-04,0.522288,0.912406,0.884376,0.778924,35.34
55,1.16065229e-04,0.490286,0.924577,0.793909,0.806610,34.26
56,1.13487356e-04,0.531563,0.914404,0.820836,0.783775,32.99
57,1.10900582e-04,0.513855,0.915951,0.823691,0.789906,40.05
58,1.08306680e-04,0.487657,0.926079,0.840239,0.803961,35.27
59,1.05707428e-04,0.504367,0.920329,0.891187,0.776924,35.27
60,1.03104606e-04,0.489706,0.926355,0.811613,0.802037,38.59
61,1.00500000e-04,0.476724,0.933079,0.798158,0.809789,35.36
62,9.78953936e-05,0.478779,0.925711,0.856092,0.804324,31.38
63,9.52925724e-05,0.477567,0.930219,0.862764,0.801309,35.64
64,9.26933200e-05,0.494080,0.922605,0.844325,0.792304,34.16
65,9.00994179e-05,0.457519,0.932173,0.877888,0.786234,35.30
66,8.75126439e-05,0.496510,0.919798,0.847635,0.795868,34.92
67,8.49347707e-05,0.495782,0.922917,0.852999,0.800292,37.17
68,8.23675652e-05,0.477916,0.924131,0.838842,0.802469,34.35
69,7.98127868e-05,0.450912,0.937080,0.808775,0.798690,35.62
70,7.72721863e-05,0.452057,0.937190,0.824466,0.804979,34.83
71,7.47475050e-05,0.461930,0.930586,0.790234,0.801373,33.92
72,7.22404732e-05,0.445181,0.939043,0.884406,0.784947,35.17
73,6.97528091e-05,0.460850,0.935695,0.852039,0.792278,35.20
74,6.72862175e-05,0.448480,0.936569,0.867276,0.799021,35.78
75,6.48423890e-05,0.446245,0.937965,0.874863,0.781990,38.20
76,6.24229985e-05,0.431288,0.941209,0.870591,0.781943,34.68
77,6.00297040e-05,0.449043,0.935378,0.848784,0.804485,35.19
78,5.76641459e-05,0.440074,0.939938,0.895289,0.785508,33.60
79,5.53279453e-05,0.440375,0.939936,0.856311,0.796059,30.57
80,5.30227034e-05,0.418627,0.945386,0.825595,0.792395,36.43
81,5.07500000e-05,0.431102,0.942267,0.812083,0.810502,30.02
82,4.85113928e-05,0.449505,0.935380,0.826062,0.797537,33.52
83,4.63084160e-05,0.423975,0.944923,0.835148,0.796012,29.52
84,4.41425794e-05,0.436100,0.940340,0.834766,0.795363,34.90
85,4.20153674e-05,0.424769,0.943185,0.838649,0.792629,34.28
86,3.99282378e-05,0.423052,0.946384,0.841877,0.799971,37.94
87,3.78826211e-05,0.415274,0.947872,0.869190,0.792916,35.27
88,3.58799192e-05,0.426947,0.941737,0.819599,0.805629,38.76
89,3.39215047e-05,0.407281,0.949037,0.832272,0.800625,32.91
90,3.20087197e-05,0.404600,0.950016,0.826858,0.801805,38.15
91,3.01428753e-05,0.397513,0.951424,0.831167,0.800623,34.74
92,2.83252501e-05,0.410874,0.946505,0.834361,0.798414,36.57
93,2.65570899e-05,0.429542,0.941154,0.848607,0.793465,29.92
94,2.48396064e-05,0.424801,0.942662,0.846290,0.799130,36.58
95,2.31739768e-05,0.393671,0.951416,0.864510,0.798477,34.60
96,2.15613426e-05,0.397903,0.950129,0.849229,0.801002,37.86
97,2.00028091e-05,0.416804,0.950522,0.839416,0.806379,39.55
98,1.84994442e-05,0.400220,0.950439,0.827415,0.804765,38.95
99,1.70522785e-05,0.411162,0.948252,0.838477,0.806088,34.45
100,1.56623036e-05,0.386248,0.953699,0.854029,0.801624,35.99
101,1.43304723e-05,0.404869,0.948106,0.857557,0.797274,32.45
102,1.30576973e-05,0.407240,0.948392,0.833470,0.804562,38.53
103,1.18448508e-05,0.397189,0.950644,0.847299,0.805222,32.15
104,1.06927642e-05,0.405114,0.948672,0.857418,0.798113,36.09
105,9.60222696e-06,0.382189,0.954630,0.844915,0.805135,35.53
106,8.57398652e-06,0.408193,0.945054,0.831048,0.806756,39.71
107,7.60874756e-06,0.399501,0.948100,0.843228,0.804407,33.06
108,6.70717164e-06,0.397781,0.954049,0.855644,0.799396,37.73
109,5.86987663e-06,0.397783,0.951474,0.846695,0.803438,36.94
110,5.09743638e-06,0.406530,0.951062,0.851451,0.800737,38.12
111,4.39038028e-06,0.381775,0.955421,0.848795,0.803353,31.95
112,3.74919292e-06,0.399143,0.951476,0.848192,0.801798,34.06
113,3.17431373e-06,0.376211,0.958627,0.849315,0.800936,39.04
114,2.66613670e-06,0.396363,0.951537,0.847582,0.802894,36.63
